Draw number,Draw date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Supplementary Number 1,Supplementary Number 2,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount
3126,02/04/2012,30,42,13,2,40,21,12,15,0,0,0.00,0.00,6,0,53947.50,8991.25,192,22,83913.60,437.05,9367,1210,233706.65,24.95,23000,3003,323150.00,14.05,51882,6813,503255.40,9.70
3124,26/03/2012,42,17,44,31,21,36,28,34,1,0,1000000.00,1000000.00,9,1,53384.40,5931.60,195,24,83040.75,425.85,8544,1132,231542.40,27.10,21117,2931,319922.55,15.15,47027,6297,498486.20,10.60
3122,19/03/2012,23,45,44,9,8,20,43,29,1,0,1000000.00,1000000.00,11,2,124548.60,11322.60,193,33,193733.40,1003.80,9446,1497,539366.60,57.10,24417,3762,747160.20,30.60,56450,8459,1162870.00,20.60
3120,12/03/2012,31,15,5,20,42,26,40,6,1,0,1000000.00,1000000.00,13,0,51186.20,3937.40,236,34,79626.40,337.40,9492,1485,221638.20,23.35,21409,3344,307219.15,14.35,43411,6783,477521.00,11.00
3118,05/03/2012,14,8,44,11,1,29,31,42,1,0,1000000.00,1000000.00,12,1,53715.60,4476.30,266,32,83563.90,314.15,12130,1146,232896.00,19.20,23804,2411,322544.20,13.55,39754,4226,500900.40,12.60
3116,27/02/2012,20,35,19,38,34,11,3,29,0,0,0.00,0.00,12,2,55099.80,4591.65,169,22,85708.35,507.15,9686,1274,238759.90,24.65,31881,4204,329968.35,10.35,59041,7649,513656.70,8.70
3114,20/02/2012,20,7,1,19,26,23,40,12,3,0,1000000.02,333333.34,23,5,50694.30,2204.10,299,22,92944.15,310.85,13387,1701,263723.90,19.70,32943,4096,364020.15,11.05
3112,13/02/2012,35,11,23,31,40,14,17,7,1,0,2000000.00,2000000.00,12,1,51983.40,4331.95,202,21,95303.60,471.80,10366,1293,270552.60,26.10,30646,3765,372348.90,12.15
3110,06/02/2012,35,38,10,3,13,44,12,5,1,0,1000000.00,1000000.00,6,0,48174.00,8029.00,182,23,88315.50,485.25,9445,1293,250292.50,26.50,24375,3105,344906.25,14.15
3108,30/01/2012,43,15,14,20,18,4,11,34,1,0,1000000.00,1000000.00,7,2,47472.60,6781.80,191,23,87029.15,455.65,8894,1203,246808.50,27.75,25177,3232,339889.50,13.50
