Draw number,Draw date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Supplementary Number 1,Supplementary Number 2,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount
2974,18/10/2010,1,13,33,19,27,21,12,45,0,0,0.00,0.00,16,5,55280.80,3455.05,333,42,101348.55,304.35,14801,1918,287139.40,19.40,29444,4292,396021.80,13.45
2972,11/10/2010,39,4,18,34,21,10,7,44,1,0,2000000.00,2000000.00,17,2,54207.05,3188.65,229,21,99374.55,433.95,11342,1377,281848.70,24.85,29497,3323,387885.55,13.15
2970,04/10/2010,29,12,25,2,32,13,22,9,2,2,2000000.00,1000000.00,20,1,48072.00,2403.60,177,18,88128.30,497.90,10802,1330,250066.30,23.15,31092,3917,345121.20,11.10
2968,27/09/2010,29,21,10,22,43,15,23,6,1,1,2000000.00,2000000.00,15,0,53022.75,3534.85,184,10,97207.20,528.30,13909,1237,275398.20,19.80,27592,2647,379390.00,13.75
2966,20/09/2010,34,15,30,7,40,21,14,11,2,0,5000000.00,2500000.00,17,3,94911.85,5583.05,425,75,173995.00,409.40,19675,3331,493842.50,25.10,54309,7785,678862.50,12.50
2964,13/09/2010,17,42,2,4,5,37,19,9,0,0,0.00,0.00,9,1,49673.25,5519.25,151,21,91068.10,603.10,9156,1168,258199.20,28.20,27078,3052,356075.70,13.15
2962,06/09/2010,9,29,23,40,36,21,18,12,1,0,1025800.90,1025800.90,25,3,56582.50,2263.30,191,19,103732.10,543.10,11063,1211,294275.80,26.60,31820,3357,405705.00,12.75
2960,30/08/2010,44,36,19,5,25,6,24,10,2,0,2000000.00,1000000.00,16,2,53099.20,3318.70,197,21,97347.55,494.15,11203,1340,276153.95,24.65,28599,3383,380366.70,13.30
2958,23/08/2010,10,14,36,4,41,13,37,35,1,0,1000000.00,1000000.00,8,0,51842.00,6480.25,144,15,95047.20,660.05,9330,1199,269637.00,28.90,21848,3004,371416.00,17.00
2956,16/08/2010,32,5,24,28,19,16,15,29,0,0,0.00,0.00,14,2,52787.00,3770.50,376,22,96782.40,257.40,13254,1438,274357.80,20.70,28891,3292,378472.10,13.10
2954,09/08/2010,7,34,11,10,26,44,40,41,0,0,0.00,0.00,13,1,49283.00,3791.00,163,22,90350.90,554.30,10487,1223,256407.15,24.45,22041,2683,352656.00,16.00
2952,02/08/2010,26,31,32,5,41,21,6,35,1,0,1000000.00,1000000.00,6,3,49676.10,8279.35,149,17,91076.25,611.25,8848,1076,258361.60,29.20,22304,2702,355748.80,15.95
2950,26/07/2010,20,10,1,4,7,16,9,12,3,0,2000000.01,666666.67,33,1,54364.20,1647.40,474,54,99658.50,210.25,17096,1872,282938.80,16.55,41048,4855,389956.00,9.50
2948,19/07/2010,31,18,17,13,45,36,12,40,2,1,2000000.00,1000000.00,8,2,53934.40,6741.80,175,20,98883.75,565.05,9696,1257,280699.20,28.95,22587,3058,386237.70,17.10
2946,12/07/2010,21,36,30,42,34,26,3,25,1,1,1000000.00,1000000.00,6,0,49933.50,8322.25,201,15,91545.45,455.45,9888,1161,259560.00,26.25,22573,2531,357782.05,15.85
2944,05/07/2010,31,37,14,25,4,27,39,19,1,0,2000000.00,2000000.00,12,3,54685.80,4557.15,195,23,100259.25,514.15,11378,1340,284450.00,25.00,28553,3286,392603.75,13.75
2942,28/06/2010,7,23,24,36,42,43,35,45,2,0,1000000.00,500000.00,3,0,47752.05,15917.35,104,15,87547.20,841.80,7875,995,248456.25,31.55,18448,2668,342210.40,18.55
2940,21/06/2010,2,1,18,42,19,25,36,5,2,0,3000000.00,1500000.00,9,3,55094.40,6121.60,171,22,101009.70,590.70,10503,1415,286731.90,27.30,29701,3852,395023.30,13.30
2938,14/06/2010,8,18,20,9,43,7,12,40,0,0,0.00,0.00,8,1,42729.60,5341.20,175,31,78338.75,447.65,8859,1344,222360.90,25.10,23497,3175,306635.85,13.05
2936,07/06/2010,1,7,18,28,33,27,29,23,0,0,0.00,0.00,13,3,51567.10,3966.70,281,12,94542.45,336.45,13300,1106,267995.00,20.15,32700,2729,369510.00,11.30
2934,31/05/2010,26,24,41,29,4,10,38,12,2,0,2000000.00,1000000.00,13,1,54935.40,4225.80,216,25,100710.00,466.25,10509,1352,285844.80,27.20,27537,3493,393779.10,14.30
2932,24/05/2010,6,18,19,17,4,22,14,13,4,0,5000000.00,1250000.00,27,3,96183.45,3562.35,514,54,176327.70,343.05,24140,3054,499698.00,20.70,59323,8011,688146.80,11.60
2930,17/05/2010,28,25,2,17,44,37,45,16,0,0,0.00,0.00,3,0,52585.65,17528.55,221,21,96411.25,436.25,9510,1125,273412.50,28.75,21324,2717,376368.60,17.65
2928,10/05/2010,40,43,14,21,41,28,2,19,0,0,0.00,0.00,9,0,55027.80,6114.20,178,23,100881.50,566.75,9912,1113,285961.20,28.85,24329,2710,394129.80,16.20
2926,03/05/2010,24,26,40,29,37,30,10,43,2,0,1000000.00,500000.00,8,0,50822.80,6352.85,160,16,93176.00,582.35,8318,1022,264096.50,31.75,22759,2778,364144.00,16.00
2924,26/04/2010,13,10,26,34,2,14,19,44,3,1,1000000.02,333333.34,6,4,41388.60,6898.10,213,13,75881.25,356.25,10598,904,215139.40,20.30,22079,1979,296962.55,13.45
2922,19/04/2010,35,8,13,39,25,44,2,19,1,0,1000000.00,1000000.00,14,2,51513.70,3679.55,150,17,94440.00,629.60,9806,1170,267703.80,27.30,26461,2766,369130.95,13.95
2920,12/04/2010,13,25,45,3,39,30,37,14,0,0,0.00,0.00,3,2,55492.20,18497.40,194,26,101733.60,524.40,10057,1415,288635.90,28.70,23958,3374,397702.80,16.60
2918,05/04/2010,24,17,43,40,9,20,32,42,1,0,2000000.00,2000000.00,13,2,46036.25,3541.25,126,12,84401.10,669.85,7365,935,239362.50,32.50,18006,2158,329509.80,18.30
2916,29/03/2010,18,2,33,29,15,14,23,8,1,0,3000000.00,3000000.00,21,2,55165.95,2626.95,231,24,101131.80,437.80,11374,1338,286624.80,25.20,30526,3493,395311.70,12.95
2914,22/03/2010,6,10,22,32,43,13,39,33,0,0,0.00,0.00,7,1,50083.60,7154.80,178,20,91821.30,515.85,9429,1153,260240.40,27.60,21983,2788,359422.05,16.35
2912,15/03/2010,13,17,1,18,9,6,41,42,1,0,1000000.00,1000000.00,11,3,51527.30,4684.30,342,25,94460.40,276.20,14472,1496,267732.00,18.50,23886,3087,369038.70,15.45
2910,08/03/2010,38,15,23,40,41,34,45,10,0,0,0.00,0.00,12,3,61063.80,5088.65,138,25,111952.50,811.25,9851,1668,317694.75,32.25,24001,4135,438018.25,18.25
2908,01/03/2010,16,15,44,18,32,13,12,34,0,0,0.00,0.00,10,3,54610.00,5461.00,152,12,100114.80,658.65,9603,874,283768.65,29.55,24941,2719,391573.70,15.70
2906,22/02/2010,5,21,27,39,6,34,26,36,1,0,5000000.00,5000000.00,24,6,113182.80,4715.95,444,58,207503.40,467.35,22772,3421,588656.20,25.85,54761,8661,810462.80,14.80
2904,15/02/2010,41,36,3,21,32,33,34,44,0,0,0.00,0.00,12,4,55023.00,4585.25,177,21,100872.30,569.90,9682,1233,286103.10,29.55,24363,3111,394680.60,16.20
2902,08/02/2010,19,40,45,3,4,42,15,38,0,0,0.00,0.00,11,1,50369.00,4579.00,126,32,92345.40,732.90,7449,1038,261832.35,35.15,20346,2645,361141.50,17.75
2900,01/02/2010,40,1,21,45,7,39,33,6,1,0,2000000.00,2000000.00,9,1,54022.05,6002.45,204,23,99042.00,485.50,10516,1438,280777.20,26.70,26214,3581,386656.50,14.75
2898,25/01/2010,20,7,38,21,28,34,1,35,2,0,2000000.00,1000000.00,9,1,56043.00,6227.00,250,36,102750.00,411.00,12728,1565,291471.20,22.90,33587,3875,401364.65,11.95
2896,18/01/2010,19,28,29,13,43,8,14,27,2,1,1000000.00,500000.00,21,1,49588.35,2361.35,363,89,90913.35,250.45,13545,1984,258032.25,19.05,29900,3447,355810.00,11.90
2894,11/01/2010,7,20,2,21,23,5,32,14,3,0,4019221.38,1339740.46,29,4,63115.60,2176.40,336,33,115718.40,344.40,17661,2149,328494.60,18.60,37713,4432,452556.00,12.00
2892,04/01/2010,20,37,35,43,4,28,17,45,0,0,0.00,0.00,16,1,57133.60,3570.85,229,23,104744.60,457.40,11118,1352,296850.60,26.70,25846,3392,409659.10,15.85
2890,28/12/2009,33,2,41,11,40,31,25,26,2,1,1000000.00,500000.00,5,1,53972.00,10794.40,168,22,98952.00,589.00,9332,749,280426.60,30.05,24790,1914,386724.00,15.60
2888,21/12/2009,15,17,19,9,45,39,24,23,0,0,0.00,0.00,7,1,50077.65,7153.95,173,26,91811.10,530.70,9075,1253,260452.50,28.70,23118,3042,358329.00,15.50
2886,14/12/2009,5,3,26,14,33,23,15,1,1,0,2000000.00,2000000.00,12,0,56369.40,4697.45,278,24,103346.50,371.75,13384,1519,293109.60,21.90,31016,3678,403208.00,13.00
2884,07/12/2009,33,44,39,38,18,8,45,3,1,0,1000000.00,1000000.00,10,2,50840.50,5084.05,172,21,93206.80,541.90,9679,1187,264236.70,27.30,22009,2947,364248.95,16.55
2882,30/11/2009,14,20,8,5,2,34,39,32,0,0,0.00,0.00,15,0,86010.00,5734.00,392,52,157682.00,402.25,20349,2699,447678.00,22.00,42185,6134,615901.00,14.60
2880,23/11/2009,12,8,19,38,14,11,7,42,0,0,0.00,0.00,13,3,53921.40,4147.80,209,23,98857.00,473.00,12577,1567,280467.10,22.30,32005,3795,385660.25,12.05
2878,16/11/2009,29,7,40,15,24,27,22,26,1,1,2000000.00,2000000.00,13,2,54594.15,4199.55,256,60,100083.20,390.95,12038,1541,284096.80,23.60,29589,3707,390574.80,13.20
2876,09/11/2009,29,9,3,4,27,18,13,1,2,0,1000000.00,500000.00,29,2,52790.15,1820.35,386,38,96789.50,250.75,16276,1631,274250.60,16.85,39973,3954,377744.85,9.45
2874,02/11/2009,39,21,9,11,40,31,38,12,1,0,8533475.72,8533475.72,17,3,102283.05,6016.65,493,70,187512.55,380.35,22034,3414,532121.10,24.15,50997,7918,731806.95,14.35
2872,26/10/2009,22,37,18,10,42,17,27,39,0,0,0.00,0.00,23,2,75026.00,3262.00,285,50,137541.00,482.60,14451,2579,390177.00,27.00,40844,5923,537098.60,13.15
2870,19/10/2009,28,4,15,5,41,16,45,12,0,0,0.00,0.00,4,0,59224.80,14806.20,187,27,108581.55,580.65,10770,1596,308022.00,28.60,27198,4290,424288.80,15.60
2868,12/10/2009,7,29,2,8,37,19,17,22,0,0,0.00,0.00,19,1,52650.90,2771.10,274,24,96530.20,352.30,13704,1429,274080.00,20.00,35113,3851,377464.75,10.75
2866,05/10/2009,17,36,42,11,21,26,8,37,1,0,3000000.00,3000000.00,14,0,51067.10,3647.65,230,33,93621.50,407.05,11102,1578,265337.80,23.90,27476,3757,365430.80,13.30
2864,28/09/2009,13,38,36,21,45,35,39,12,0,0,0.00,0.00,12,3,49184.40,4098.70,145,15,90168.25,621.85,8078,792,255668.70,31.65,20960,2090,352128.00,16.80
2862,21/09/2009,14,19,21,15,22,42,7,1,1,1,5000000.00,5000000.00,27,5,100718.10,3730.30,383,58,184644.30,482.10,19568,3037,523444.00,26.75,58549,8546,723080.15,12.35
2860,14/09/2009,16,34,41,11,9,18,15,19,0,0,0.00,0.00,7,0,53090.10,7584.30,191,21,97333.60,509.60,9362,1194,276179.00,29.50,24629,3191,380518.05,15.45
2858,07/09/2009,8,27,20,40,2,44,9,30,0,0,0.00,0.00,12,2,57342.00,4778.50,240,27,105132.00,438.05,11931,1172,298275.00,25.00,31665,3140,411645.00,13.00
2856,31/08/2009,5,25,17,38,13,8,1,43,0,0,0.00,0.00,11,2,50464.15,4587.65,269,40,92522.55,343.95,13017,1394,262292.55,20.15,27762,3229,362294.10,13.05
2854,24/08/2009,40,27,23,26,20,5,13,33,1,0,1000000.00,1000000.00,18,2,52075.80,2893.10,185,13,95469.25,516.05,11327,1307,270715.30,23.90,29840,3460,373000.00,12.50
2852,17/08/2009,31,26,19,45,37,6,38,4,2,0,1000000.00,500000.00,8,2,54027.20,6753.40,214,33,99049.90,462.85,9391,1175,280790.90,29.90,23118,3280,387226.50,16.75
2850,10/08/2009,24,35,4,45,22,1,38,31,0,0,0.00,0.00,6,0,58502.10,9750.35,158,32,107250.40,678.80,9587,1426,304387.25,31.75,24108,3502,419479.20,17.40
2848,03/08/2009,10,32,7,28,17,40,11,4,2,0,1000000.00,500000.00,14,0,52254.30,3732.45,226,20,95801.40,423.90,11834,1153,271590.30,22.95,32810,3108,374034.00,11.40
2846,27/07/2009,5,17,34,27,24,7,45,14,1,0,1000000.00,1000000.00,25,2,50177.50,2007.10,343,24,91992.60,268.20,14228,1438,261083.80,18.35,27923,3126,360206.70,12.90
2844,20/07/2009,29,35,38,22,26,25,6,9,1,0,1000000.00,1000000.00,7,3,51119.25,7302.75,240,25,93720.00,390.50,10706,1203,266044.10,24.85,25396,2837,366972.20,14.45
2842,13/07/2009,23,14,11,41,27,44,40,29,0,0,0.00,0.00,19,3,53455.55,2813.45,264,33,97996.80,371.20,11200,1304,277760.00,24.80,26962,3008,382860.40,14.20
2840,06/07/2009,17,19,6,35,41,24,39,37,2,0,5000000.00,2500000.00,19,3,101035.35,5317.65,394,35,185239.10,470.15,19618,2600,525762.40,26.80,47499,6821,724359.75,15.25
2838,29/06/2009,13,37,32,35,15,12,22,31,0,0,0.00,0.00,8,3,49526.80,6190.85,156,20,90799.80,582.05,8297,996,257621.85,31.05,23352,2531,354950.40,15.20
2836,22/06/2009,28,27,20,18,37,45,32,2,1,0,2000000.00,2000000.00,7,1,51835.35,7405.05,171,16,95033.25,555.75,9416,1178,269768.40,28.65,23507,2992,371410.60,15.80
2834,15/06/2009,13,19,14,38,34,5,43,39,1,0,3000000.00,3000000.00,12,2,54970.20,4580.85,247,34,100776.00,408.00,11308,1294,286092.40,25.30,25588,3178,394055.20,15.40
2832,08/06/2009,45,1,24,30,37,44,27,14,0,0,0.00,0.00,2,0,43351.10,21675.55,110,23,79475.00,722.50,5899,1094,225341.80,38.20,17593,2787,310516.45,17.65
2830,01/06/2009,44,31,11,24,42,45,28,39,2,1,3000000.00,1500000.00,7,0,55450.85,7921.55,158,19,101657.20,643.40,8118,978,288189.00,35.50,22723,2500,397652.50,17.50
2828,25/05/2009,37,2,11,24,40,34,6,13,0,0,0.00,0.00,9,1,51428.70,5714.30,186,12,94283.40,506.90,9336,1031,267476.40,28.65,25327,2662,368507.85,14.55
2826,18/05/2009,34,25,15,17,7,5,12,35,1,0,1000000.00,1000000.00,32,1,52582.40,1643.20,330,27,96409.50,292.15,13561,1397,273254.15,20.15,34107,3360,376882.35,11.05
2824,11/05/2009,29,41,17,4,24,38,37,9,1,0,2000000.00,2000000.00,12,1,58096.20,4841.35,198,24,106514.10,537.95,10094,1217,302315.30,29.95,25806,3240,416766.90,16.15
2822,04/05/2009,16,20,10,26,32,27,35,44,1,0,1000000.00,1000000.00,7,0,54136.60,7733.80,194,9,99250.40,511.60,11556,1264,281388.60,24.35,24528,2715,387542.40,15.80
2820,27/04/2009,29,23,4,36,21,27,25,41,1,1,1000000.00,1000000.00,18,4,52716.60,2928.70,245,45,96652.50,394.50,13699,1769,273980.00,20.00,27891,4105,377923.05,13.55
2818,20/04/2009,15,7,9,11,21,45,6,22,2,0,1000000.00,500000.00,20,2,54880.00,2744.00,288,23,100612.80,349.35,13829,1564,285568.85,20.65,32717,3896,392604.00,12.00
2816,13/04/2009,44,15,35,40,31,32,33,23,0,0,0.00,0.00,4,0,44882.00,11220.50,112,14,82286.40,734.70,6746,677,233411.60,34.60,20259,2074,322118.10,15.90
2814,06/04/2009,13,23,31,19,42,21,39,6,2,0,5000000.00,2500000.00,28,6,115561.60,4127.20,582,92,211877.10,364.05,26513,3991,600519.45,22.65,61430,8640,829305.00,13.50
2812,30/03/2009,44,6,20,5,33,8,24,3,0,0,0.00,0.00,9,3,53786.25,5976.25,161,21,98604.45,612.45,10148,1152,279577.40,27.55,30107,3170,385369.60,12.80
2810,23/03/2009,22,17,4,2,38,11,29,30,0,0,0.00,0.00,18,0,52604.10,2922.45,301,34,96440.40,320.40,13961,1543,273635.60,19.60,33821,3632,377104.15,11.15
2808,16/03/2009,30,25,11,45,5,18,31,32,0,0,0.00,0.00,7,0,53168.50,7595.50,235,45,97478.00,414.80,11629,1412,276188.75,23.75,24123,2943,381143.40,15.80
2806,09/03/2009,41,6,9,20,12,43,10,1,0,0,0.00,0.00,5,2,50229.75,10045.95,154,21,92084.30,597.95,8601,1177,261040.35,30.35,24245,3109,360038.25,14.85
2804,02/03/2009,11,26,14,41,39,18,22,28,1,1,3013144.19,3013144.19,19,3,58284.40,3067.60,179,26,106854.05,596.95,10561,991,303100.70,28.70,29750,2454,417987.50,14.05
2802,23/02/2009,37,3,28,8,16,17,1,40,0,0,0.00,0.00,8,0,54234.80,6779.35,263,29,99427.15,378.05,12615,1398,281945.25,22.35,29208,3413,388466.40,13.30
2800,16/02/2009,38,31,3,28,15,34,23,22,2,0,2000000.00,1000000.00,12,1,56242.80,4686.90,253,29,103110.15,407.55,11353,1396,292339.75,25.75,31447,3558,402521.60,12.80
2798,09/02/2009,30,12,44,7,15,2,26,1,2,0,1000000.00,500000.00,20,3,50968.00,2548.40,184,15,93444.40,507.85,11528,1141,265144.00,23.00,30091,2922,365605.65,12.15
2796,02/02/2009,19,35,11,24,29,38,36,41,1,0,2000000.00,2000000.00,10,4,54987.50,5498.75,306,28,100811.70,329.45,13515,1426,285842.25,21.15,25599,3171,394224.60,15.40
2794,26/01/2009,31,8,9,39,7,14,17,41,1,0,1000000.00,1000000.00,9,0,45614.70,5068.30,157,20,83626.05,532.65,8819,826,237231.10,26.90,22009,2482,326833.65,14.85
2792,19/01/2009,7,34,30,33,10,36,38,41,0,0,0.00,0.00,24,4,103114.80,4296.45,373,50,189036.40,506.80,20410,2258,535762.50,26.25,48383,5661,737840.75,15.25
2790,12/01/2009,5,42,23,12,6,36,44,8,1,0,2000000.00,2000000.00,18,2,56304.00,3128.00,217,34,103226.90,475.70,11857,1409,292867.90,24.70,28872,3426,404208.00,14.00
2788,05/01/2009,24,42,21,28,33,19,11,44,2,1,3123869.04,1561934.52,12,0,57715.20,4809.60,191,26,105814.00,554.00,11093,1440,300065.65,27.05,29638,3521,413450.10,13.95
2786,29/12/2008,32,42,35,14,38,43,44,21,0,0,0.00,0.00,7,0,61191.90,8741.70,177,15,112182.60,633.80,10564,1003,317976.40,30.10,31704,2927,439100.40,13.85
2784,22/12/2008,16,43,1,13,40,33,35,44,0,0,0.00,0.00,11,2,53839.50,4894.50,204,40,98705.40,483.85,10175,1310,279812.50,27.50,22634,2696,385909.70,17.05
2782,15/12/2008,32,4,20,15,19,18,23,35,3,0,1000000.02,333333.34,12,0,54648.00,4554.00,205,18,100183.50,488.70,11146,1236,284223.00,25.50,28638,2902,392340.60,13.70
2780,08/12/2008,17,2,41,30,18,27,23,29,1,0,1000000.00,1000000.00,9,1,52465.50,5829.50,177,19,96190.65,543.45,9846,1154,272734.20,27.70,26942,3031,375840.90,13.95
2778,01/12/2008,20,22,43,5,35,40,21,6,0,0,0.00,0.00,7,0,53653.25,7664.75,210,26,98364.00,468.40,10153,1198,279207.50,27.50,23617,2856,384957.10,16.30
2776,24/11/2008,39,43,2,20,24,11,5,45,0,0,0.00,0.00,12,3,54363.60,4530.30,202,25,99666.80,493.40,10399,1259,282852.80,27.20,24759,3182,389954.25,15.75
2774,17/11/2008,11,45,1,37,29,18,20,34,2,0,1012339.44,506169.72,16,1,55806.40,3487.90,218,27,102307.40,469.30,10376,1414,290009.20,27.95,26042,3301,399744.70,15.35
2772,10/11/2008,18,26,15,44,6,24,2,27,0,0,0.00,0.00,11,2,52934.75,4812.25,190,24,97042.50,510.75,10152,1209,275119.20,27.10,28034,3099,379860.70,13.55
2770,03/11/2008,6,23,17,4,16,9,18,29,3,0,2000000.01,666666.67,15,0,57924.75,3861.65,294,31,106192.80,361.20,14418,1469,301336.20,20.90,35176,3520,415076.80,11.80
2768,27/10/2008,19,1,30,3,29,27,23,33,1,0,2056830.91,2056830.91,11,0,56699.50,5154.50,320,37,103952.00,324.85,14511,1543,294573.30,20.30,33187,3817,406540.75,12.25
2766,20/10/2008,12,18,23,34,38,28,2,8,13,1,5000000.07,384615.39,78,7,104991.90,1346.05,753,55,192504.45,255.65,27388,3087,546390.60,19.95,67528,7826,752937.20,11.15
2764,13/10/2008,26,2,7,27,33,39,19,40,1,0,2000000.00,2000000.00,14,1,60325.30,4308.95,248,31,110595.60,445.95,11978,1309,313823.60,26.20,31150,3536,432985.00,13.90
2762,06/10/2008,3,31,6,25,23,18,29,26,2,1,3500000.00,1750000.00,12,2,47103.00,3925.25,245,33,86570.75,353.35,11691,1851,216283.50,18.50,27568,4741,286707.20,10.40
2760,29/09/2008,5,25,34,39,6,11,13,33,0,0,0.00,0.00,12,0,47864.40,3988.70,202,15,87971.00,435.50,10068,909,219985.80,21.85,26704,2427,291073.60,10.90
2758,22/09/2008,36,2,16,37,40,6,29,35,0,0,0.00,0.00,11,1,48638.70,4421.70,201,21,89394.75,444.75,9698,1428,223538.90,23.05,23408,3579,296111.20,12.65
2756,15/09/2008,11,19,5,4,24,2,31,12,4,1,3500000.00,875000.00,26,3,57062.20,2194.70,464,42,104864.00,226.00,18312,2182,261861.60,14.30,40108,5371,346934.20,8.65
2754,08/09/2008,24,15,34,30,23,17,27,29,0,0,0.00,0.00,16,2,56732.80,3545.80,213,29,104263.50,489.50,11280,1455,260568.00,23.10,32006,4363,345664.80,10.80
2752,01/09/2008,37,42,35,33,40,28,45,24,0,0,0.00,0.00,25,2,46836.25,1873.45,267,32,86080.80,322.40,9750,1298,214987.50,22.05,19714,3133,284867.30,14.45
2750,25/08/2008,25,4,42,28,29,19,3,36,0,0,0.00,0.00,8,2,47084.80,5885.60,194,19,86533.70,446.05,10220,1204,216153.00,21.15,26643,3424,286412.25,10.75
2748,18/08/2008,5,15,45,34,29,11,12,24,2,0,1000000.00,500000.00,17,1,46849.45,2755.85,240,21,86100.00,358.75,10140,1337,215475.00,21.25,23550,3330,284955.00,12.10
2746,11/08/2008,31,19,37,32,7,3,26,38,0,0,0.00,0.00,10,1,49136.50,4913.65,238,33,90309.10,379.45,12136,1522,225729.60,18.60,27172,3320,298892.00,11.00
2744,04/08/2008,5,22,9,24,32,39,19,37,3,0,2534815.86,844938.62,9,1,51118.65,5679.85,252,47,93945.60,372.80,10894,1606,234765.70,21.55,28353,4081,310465.35,10.95
2742,28/07/2008,18,12,39,8,3,22,26,25,0,0,0.00,0.00,23,1,49211.95,2139.65,247,24,90439.05,366.15,13751,1700,226203.95,16.45,31393,3857,299803.15,9.55
2740,21/07/2008,6,20,31,14,43,12,7,39,5,1,1500000.00,300000.00,10,1,45959.50,4595.95,222,24,84471.00,380.50,9514,1224,211210.80,22.20,23329,3078,279948.00,12.00
2738,14/07/2008,13,41,3,1,12,2,14,16,1,0,2500000.00,2500000.00,29,3,49508.80,1707.20,302,39,90992.60,301.30,11673,1690,227623.50,19.50,26216,4187,301484.00,11.50
2736,07/07/2008,32,14,6,43,34,11,15,33,0,0,1173873.09,0.00,5,1,45959.00,9191.80,164,23,84468.20,515.05,8721,1108,211048.20,24.20,20465,2824,279347.25,13.65
2734,30/06/2008,14,33,19,29,25,44,23,22,1,0,1500000,1500000,16,3,47026.4,2939.15,229,37,86424.6,377.4,10857,1373,216054.3,19.9,27639,3266,286063.65,10.35
2732,23/06/2008,14,23,28,34,1,44,31,21,2,0,1500000,750000,6,1,47111.7,7851.95,230,25,86583.5,376.45,10496,1190,216217.6,20.6,25397,3122,286986.1,11.3
2730,16/06/2008,38,29,34,39,18,37,45,35,1,0,1000000,1000000,11,1,48077.7,4370.7,191,27,88356.6,462.6,10984,1441,220778.4,20.1,24324,3680,291888,12
2728,09/06/2008,27,35,1,17,5,22,37,7,3,0,1000000.02,333333.34,9,1,40066.65,4451.85,252,33,73634.40,292.20,11238,1717,184303.20,16.40,30417,4013,243336.00,8.00
2726,02/06/2008,25,39,16,45,15,38,32,35,2,0,1000000.00,500000.00,11,1,44221.10,4020.10,104,12,81270.80,781.45,6112,611,203224.00,33.25,20195,1729,268593.50,13.30
2724,26/05/2008,45,6,16,41,40,24,42,34,0,0,0,0,4,0,47048.4,11762.1,126,22,86467.5,686.25,8009,1209,216243,27,20256,3179,285609.6,14.1
2722,19/05/2008,39,18,2,26,45,40,30,27,0,0,0,0,5,1,46188.25,9237.65,117,15,84883.5,725.5,7326,1107,212087.7,28.95,19437,2584,280864.65,14.45
2720,12/05/2008,12,29,22,24,40,10,33,17,1,0,2000000,2000000,16,4,52179.2,3261.2,198,15,95901.3,484.35,11952,1466,239637.6,20.05,28210,3166,317362.5,11.25
2718,05/05/2008,30,44,23,25,32,17,15,6,0,0,0,0,11,0,47301.65,4300.15,140,18,86933,620.95,8622,1025,217274.4,25.2,23300,2502,287755,12.35
2716,28/04/2008,35,6,4,11,40,44,34,3,2,0,1000000,500000,8,0,44064.4,5508.05,187,15,80980.35,433.05,8617,992,202499.5,23.5,21650,2357,268460,12.4
2714,21/04/2008,36,9,41,38,3,11,16,13,2,0,1000000,500000,6,1,47248.2,7874.7,152,11,86837.6,571.3,9070,1016,217226.5,23.95,25654,2809,287324.8,11.2
2712,14/04/2008,38,35,12,6,44,37,7,39,0,0,0,0,7,0,47544.7,6792.1,168,22,87376.8,520.1,8723,993,218511.15,25.05,23335,2894,289354,12.4
2710,07/04/2008,22,16,10,41,2,27,9,4,0,0,0,0,8,1,46498.8,5812.35,252,26,85453.2,339.1,10674,1092,213480,20,28167,2947,283078.35,10.05
2708,31/03/2008,13,10,23,34,16,33,29,12,0,0,0,0,12,1,50373.6,4197.8,191,29,92577.7,484.7,10746,1107,231576.3,21.55,28838,3043,305682.8,10.6
2706,24/03/2008,25,9,14,22,15,16,3,45,1,0,1500000,1500000,6,0,39305.7,6550.95,163,16,72241.6,443.2,9013,855,180710.65,20.05,19617,2281,239327.4,12.2
2704,17/03/2008,20,22,41,32,43,44,31,18,1,0,1500000,1500000,8,0,47769.6,5971.2,158,26,87792.7,555.65,8047,1124,219280.75,27.25,19349,2318,290235,15
2702,10/03/2008,21,9,25,36,3,40,6,2,2,0,1000000,500000,20,1,48460,2423,242,18,89056,368,11305,1059,222708.5,19.7,29878,3008,294298.3,9.85
2700,03/03/2008,15,27,39,20,38,9,3,8,2,0,1000000,500000,7,1,45805.55,6543.65,202,8,84183.5,416.75,9631,633,210437.35,21.85,26804,1907,278761.6,10.4
2698,25/02/2008,21,12,26,20,41,13,6,30,0,0,0,0,9,1,49806.45,5534.05,184,21,91540,497.5,10430,1229,228938.5,21.95,32299,3573,303610.6,9.4
2696,18/02/2008,17,21,37,30,3,45,11,24,0,0,0,0,6,1,48372.3,8062.05,128,22,88902.4,694.55,8978,1262,222205.5,24.75,25382,3072,294431.2,11.6
2694,11/02/2008,38,40,17,34,2,28,4,24,0,0,0,0,14,3,47659.5,3404.25,176,20,87595.2,497.7,9827,981,219142.1,22.3,24709,2591,290330.75,11.75
2692,04/02/2008,24,23,21,14,18,27,37,42,0,0,0,0,9,3,48809.25,5423.25,284,24,89701.4,315.85,13338,1336,224078.4,16.8,27144,2965,297226.8,10.95
